coord.x,coord.y,coord.z,z.value
33,17,24,-2.0159689800640557
34,17,24,-0.8021346970954447
35,17,24,-0.5245266788226355
36,17,24,-0.3822811663687685
32,18,24,0.7629683303367135
33,18,24,1.3217586312189644
34,18,24,1.5982449914170949
35,18,24,0.6713283210982945
36,18,24,-0.8038766616437164
37,18,24,-0.8227047670695827
38,18,24,0.4095572476041698
39,18,24,1.3927331764280868
31,19,24,0.14784101176084968
32,19,24,0.859427241918802
33,19,24,1.1080117188820153
34,19,24,0.7296813340213614
35,19,24,-0.024446902487403145
36,19,24,-0.37835897851331973
37,19,24,0.27956931343904423
38,19,24,1.1060067674158678
39,19,24,1.511433286176499
40,19,24,0.1810086981364016
30,20,24,-0.8885708214141526
31,20,24,-0.6287678693588297
32,20,24,-0.7527023153081914
33,20,24,-1.7128348489120724
34,20,24,-1.7767381739528618
35,20,24,-1.2625382334497188
36,20,24,-0.2949443189575586
37,20,24,0.9302534226669673
38,20,24,0.8695590038941107
39,20,24,0.6265297327691373
40,20,24,0.06233316221051463
41,20,24,-0.6010522107717456
42,20,24,-0.6441674964832149
43,20,24,-0.5648804877685364
28,21,24,-2.0404135803697483
29,21,24,-1.7487380577148521
30,21,24,-0.71466926245379
31,21,24,-1.9404098615737686
32,21,24,-1.9181688613288046
33,21,24,-1.384221578620029
34,21,24,-0.17831529101486998
35,21,24,0.04415829214484146
36,21,24,0.05227668963208247
37,21,24,-0.08707775828060152
38,21,24,0.31543598266101813
39,21,24,0.2396146217182525
40,21,24,0.8168234648921896
41,21,24,-0.26804568853172656
42,21,24,-0.8351717741258
43,21,24,-0.36930964643956543
44,21,24,-1.1542292847129278
75,21,24,0.08498898098099059
27,22,24,-0.8704940050320902
28,22,24,-1.5443992511159446
29,22,24,-1.8755311567550232
30,22,24,-0.8521784914759071
31,22,24,-1.47357722045816
32,22,24,-1.594232853078407
33,22,24,-0.8985284890365071
34,22,24,-1.0128389922333951
40,22,24,0.023067908310895478
41,22,24,0.2685660220181474
42,22,24,0.3184849325167836
43,22,24,-0.4798088339447737
44,22,24,-0.13521874763949515
75,22,24,-0.5336970943111347
76,22,24,-1.2686574234557075
20,23,24,1.2225349181320788
21,23,24,0.027524599765985057
25,23,24,-0.0978703842308742
26,23,24,-0.6726446076866569
27,23,24,-0.5257191526341937
28,23,24,-1.9702469447891706
29,23,24,-2.3667806018909774
30,23,24,-1.5705535203704961
42,23,24,0.5309318386139598
43,23,24,0.5521958708720265
44,23,24,0.6492511563370897
45,23,24,-0.6304935842404269
74,23,24,0.0015511704794262929
75,23,24,-0.906394680286627
76,23,24,-0.20971383137598112
77,23,24,0.5382135625391722
78,23,24,0.49774394850351084
79,23,24,0.0666799012014079
18,24,24,-0.23071026213294316
19,24,24,-0.3856775994364123
20,24,24,-0.8046240089142326
21,24,24,-1.737026008860857
22,24,24,-1.2094587589962935
23,24,24,-1.687501711988283
24,24,24,-2.1757237526117903
25,24,24,-1.2414141293731555
26,24,24,-0.4089644991382967
27,24,24,-0.37285128161425235
28,24,24,-1.5532049140085744
43,24,24,0.6470008562963356
44,24,24,0.8465406100385482
45,24,24,-0.4875107811299984
74,24,24,-0.7387114103107021
75,24,24,-0.6071823147549091
76,24,24,-0.04212050043803609
78,24,24,0.5681288744841265
79,24,24,0.05333829455127538
80,24,24,-1.7897298190352517
16,25,24,1.118819900234825
17,25,24,0.39989877153052134
18,25,24,0.050815812132817925
19,25,24,-1.1993865739731395
20,25,24,-1.1285253426077897
21,25,24,-0.6951812074240744
22,25,24,-0.7420165689756095
23,25,24,-0.5235337857094684
24,25,24,-0.4470043244811705
25,25,24,-0.7719381238732074
26,25,24,-0.8133784029270614
27,25,24,-1.1638628773690571
43,25,24,1.093861433949611
44,25,24,1.389677747070196
45,25,24,0.8597630132359115
46,25,24,-0.8298124165028113
74,25,24,-1.131201197326233
75,25,24,-1.0170417147674364
76,25,24,-0.5128585227565591
79,25,24,-0.13792269892938805
80,25,24,-1.4889486119038688
16,26,24,0.9046564226556424
17,26,24,-0.2090823179613812
18,26,24,-1.4109823555361225
19,26,24,-1.632720105469754
20,26,24,-1.6361497223345483
21,26,24,-1.1926085313286237
22,26,24,-0.48924994100450037
23,26,24,-0.9129462416303878
24,26,24,-1.1883508746700964
25,26,24,-1.3556783488277666
43,26,24,1.9268607746407929
44,26,24,1.321020297130739
45,26,24,0.5770181682042436
46,26,24,-0.8013889301325012
47,26,24,0.3944017826146275
74,26,24,-0.6144074583016705
75,26,24,-0.9364610992239346
76,26,24,-2.5679934277635184
78,26,24,-1.4617464381803689
79,26,24,-1.317825915393491
14,27,24,1.6843321776651914
15,27,24,-0.24747161218942276
16,27,24,0.11410751288884231
17,27,24,-0.17816075864401967
18,27,24,-1.0962908192642704
19,27,24,0.12581099510264365
20,27,24,-0.3021711233408329
21,27,24,-1.2841238989141535
22,27,24,-1.2429081842837546
23,27,24,-1.7686392162462559
42,27,24,2.1070406261554315
43,27,24,1.2543455141359319
44,27,24,-0.8006436356780803
45,27,24,-0.9261646729584676
46,27,24,-1.9633222076390886
47,27,24,-0.5774448033313851
48,27,24,-0.37444800875335194
49,27,24,-1.4123184106102957
50,27,24,-0.14183714135888767
73,27,24,1.8696627433616417
74,27,24,1.0220013876544631
75,27,24,0.8612732734387034
76,27,24,0.04735742320619841
77,27,24,-0.38908251107587105
78,27,24,0.30295749229491487
79,27,24,-0.8718134957672694
13,28,24,1.7366650852497212
14,28,24,0.5466555180463104
15,28,24,-0.652927861759584
16,28,24,-2.4664636907031827
17,28,24,-1.7134624710596296
18,28,24,-0.43674215843256114
19,28,24,-0.8451909791193768
42,28,24,1.423633234657257
43,28,24,-0.6652971912093826
44,28,24,0.2994241856819395
45,28,24,1.5506898561320972
46,28,24,-0.19151068918084163
47,28,24,-1.3573585442001823
48,28,24,-1.5449148115288232
49,28,24,-1.2771338436038284
50,28,24,-0.18249385375853294
